abstract,author,meta,subject,title
"This paper deals with the entity extraction task (named entity recognition)
of a text mining process that aims at unveiling non-trivial semantic
structures, such as relationships and interaction between entities or
communities. In this paper we present a simple and efficient named entity
extraction algorithm. The method, named PAMPO (PAttern Matching and POs tagging
based algorithm for NER), relies on flexible pattern matching, part-of-speech
tagging and lexical-based rules. It was developed to process texts written in
Portuguese, however it is potentially applicable to other languages as well.
We compare our approach with current alternatives that support Named Entity
Recognition (NER) for content written in Portuguese. These are Alchemy, Zemanta
and Rembrandt. Evaluation of the efficacy of the entity extraction method on
several texts written in Portuguese indicates a considerable improvement on
$recall$ and $F_1$ measures.
","Concei??o Rocha, Al?pio Jorge, Roberta Sionara, Paula Brito, Carlos Pimenta, Solange Rezende","Fri, 30 Dec 2016 17:10:29 GMT (131kb)",Information Retrieval (cs.IR),PAMPO: using pattern matching and pos-tagging for effective Named Entities recognition in Portuguese
"This paper studies marijuana-related tweets in social network Twitter. We
collected more than 300,000 marijuana related tweets during November 2016 in
our study. Our text-mining based algorithms and data analysis unveil some
interesting patterns including: (i) users' attitudes (e.g., positive or
negative) can be characterized by the existence of outer links in a tweet; (ii)
67% users use their mobile phones to post their messages while many users
publish their messages using third-party automatic posting services; and (3)
the number of tweets during weekends is much higher than during weekdays. Our
data also showed the impact of the political events such as the U.S.
presidential election or state marijuana legalization votes on the
marijuana-related tweeting frequencies.
","Anh Nguyen, Quang Hoang, Hung Nguyen, Dong Nguyen, Tuan Tran","Wed, 28 Dec 2016 16:11:28 GMT (740kb,D)",Social and Information Networks (cs.SI),Evaluating Marijuana-Related Tweets On Twitter
"Recent studies have shown that information mined from Craigslist can be used
for informing public health policy or monitoring risk behavior. This paper
presents a text-mining method for conducting public health surveillance of
marijuana use concerns in the U.S. using online classified ads in Craigslist.
We collected more than 200 thousands of rental ads in the housing categories in
Craigslist and devised text-mining methods for efficiently and accurately
extract rental ads associated with concerns about the uses of marijuana in
different states across the U.S. We linked the extracted ads to their
geographic locations and computed summary statistics of the ads having
marijuana use concerns. Our data is then compared with the State Marijuana Laws
Map published by the U.S. government and marijuana related keywords search in
Google to verify our collected data with respect to the demographics of
marijuana use concerns. Our data not only indicates strong correlations between
Craigslist ads, Google search and the State Marijuana Laws Map in states where
marijuana uses are legal, but also reveals some hidden world of marijuana use
concerns in other states where marijuana use is illegal. Our approach can be
utilized as a marijuana surveillance tool for policy makers to develop public
health policy and regulations.
","Anh Nguyen, Long Nguyen, Dong Nguyen, Uyen Le, Tuan Tran","Thu, 22 Dec 2016 15:00:16 GMT (509kb,D) [v2] Wed, 28 Dec 2016 16:13:48 GMT (509kb,D)",Computers and Society (cs.CY),"""420 Friendly"": Revealing Marijuana Use via Craigslist Rental Ads"
"A good lexicon is an important resource for various cross-lingual tasks such
as information retrieval and text mining. In this paper, we focus on extracting
translation pairs from non-parallel cross-lingual corpora. Previous lexicon
extraction algorithms for non-parallel data generally rely on an accurate seed
dictionary and extract translation pairs by using context similarity. However,
there are two problems. One, a lot of semantic information is lost if we just
use seed dictionary words to construct context vectors and obtain the context
similarity. Two, in practice, we may not have a clean seed dictionary. For
example, if we use a generic dictionary as a seed dictionary in a special
domain, it might be very noisy. To solve these two problems, we propose two new
bilingual topic models to better capture the semantic information of each word
while discriminating the multiple translations in a noisy seed dictionary. We
then use an effective measure to evaluate the similarity of words in different
languages and select the optimal translation pairs. Results of experiments
using real Japanese-English data demonstrate the effectiveness of our models.
",Tengfei Ma,"Wed, 21 Dec 2016 16:12:45 GMT (166kb,D)",Computation and Language (cs.CL),Inverted Bilingual Topic Models for Lexicon Extraction from Non-parallel Data
"Non-negative matrix factorization ( NMF ) is a new knowledge discovery method
that is used for text mining, signal processing, bioinformatics, and consumer
analysis. However, its basic property as a learning machine is not yet
clarified, as it is not a regular statistical model, resulting that theoretical
optimization method of NMF has not yet established. In this paper, we study the
real log canonical threshold of NMF and give an upper bound of the
generalization error in Bayesian learning. The results show that the
generalization error of the matrix factorization can be made smaller than
regular statistical models if Bayesian learning is applied.
","Naoki Hayashi, Sumio Watanabe","Tue, 13 Dec 2016 12:02:24 GMT (11kb) [v2] Wed, 15 Feb 2017 07:24:03 GMT (14kb) [v3] Wed, 22 Feb 2017 10:30:36 GMT (14kb)",Statistics Theory (math.ST),Upper Bound of Bayesian Generalization Error in Non-Negative Matrix Factorization
"This paper presents an algorithm for the unsupervised learning of latent
variable models from unlabeled sets of data. We base our technique on spectral
decomposition, providing a technique that proves to be robust both in theory
and in practice. We also describe how to use this algorithm to learn the
parameters of two well known text mining models: single topic model and Latent
Dirichlet Allocation, providing in both cases an efficient technique to
retrieve the parameters to feed the algorithm. We compare the results of our
algorithm with those of existing algorithms on synthetic data, and we provide
examples of applications to real world text corpora for both single topic model
and LDA, obtaining meaningful results.
","Matteo Ruffini, Marta Casanellas, Ricard Gavald?","Sun, 11 Dec 2016 13:31:58 GMT (363kb,D)",Machine Learning (stat.ML),A New Spectral Method for Latent Variable Models
"Sentiment analysis is one of the fastest growing research areas in computer
science, making it challenging to keep track of all the activities in the area.
We present a computer-assisted literature review, where we utilize both text
mining and qualitative coding, and analyze 6,996 papers from Scopus. We find
that the roots of sentiment analysis are in the studies on public opinion
analysis at the beginning of 20th century and in the text subjectivity analysis
performed by the computational linguistics community in 1990's. However, the
outbreak of computer-based sentiment analysis only occurred with the
availability of subjective texts on the Web. Consequently, 99% of the papers
have been published after 2004. Sentiment analysis papers are scattered to
multiple publication venues, and the combined number of papers in the top-15
venues only represent ca. 30% of the papers in total. We present the top-20
cited papers from Google Scholar and Scopus and a taxonomy of research topics.
In recent years, sentiment analysis has shifted from analyzing online product
reviews to social media texts from Twitter and Facebook. Many topics beyond
product reviews like stock markets, elections, disasters, medicine, software
development and cyberbullying extend the utilization of sentiment analysis
","Mika Viking M?ntyl?, Daniel Graziotin, Miikka Kuutila","Mon, 5 Dec 2016 21:28:06 GMT (1732kb) [v2] Tue, 21 Mar 2017 18:09:41 GMT (1205kb)",Computation and Language (cs.CL),"The Evolution of Sentiment Analysis - A Review of Research Topics, Venues, and Top Cited Papers"
"In this paper, we have identified and analyzed the emergence, structure and
dynamics of the paradigmatic research fronts that established the fundamentals
of the biomedical knowledge on HIV/AIDS. A search of papers with the
identifiers ""HIV/AIDS"", ""Human Immunodeficiency Virus"" and ""Acquired
Immunodeficiency Syndrome"" in the Web of Science (Thomson Reuters), was carried
out. A citation network of those papers was constructed. Then, a sub-network of
the papers with the highest number of inter-citations (with a minimal in-degree
of 30) was selected to perform a combination of network clustering and text
mining to identify the paradigmatic research fronts and analyze their dynamics.
Seven research fronts were identified in this sub-network. Each one of the
fronts are related to one of the following topics: ""preliminary pathology
research"", ""virus entry"", ""virus tropism"", ""drug resistance"", ""genetic
expression"", ""assembly"", and ""virus replication"". The emergence of these fronts
occurred in successive ""waves"" over the time which suggest a transition in the
paradigmatic focus. The emergence of the biomedical fronts in HIV/AIDS research
is explained not just by the partition of the problem in elements and
interactions leading to increasingly specialized communities, but also by
changes in the technological context of this health problem.
","David Fajardo-Ortiz, Malaquias Lopez-Cervantes, Luis Duran, Michel Dumontier, Miguel Lara, Hector Ochoa, Victor M Castano","Wed, 16 Nov 2016 10:13:08 GMT (2080kb)",Social and Information Networks (cs.SI),The structure and dynamics of the research fronts in HIV/AIDS research: part-whole and adaptive specialization
"Document similarity is the problem of formally representing textual documents
and then proposing a similarity measure that can be used to compute the
linguistic similarity between two documents. Accurate document similarity
computation improves many enterprise relevant tasks such as document
clustering, text mining, and question-answering. Most contemporary techniques
employ bag-of-words (BoW) based document representation models. In this paper,
we show that a document's thematic flow, which is often disregarded by
bag-of-word techniques, is pivotal in estimating their semantic similarity. In
this direction, we propose a novel semantic document similarity framework,
called SimDoc. We model documents as topic-sequences, where topics represent
latent generative clusters of relative words. We then use a sequence alignment
algorithm, that has been adapted from the Smith-Waterman gene-sequencing
algorithm, to estimate their semantic similarity. For similarity computation at
a finer granularity, we tune the alignment algorithm by integrating it with a
word embedding matrix based topic-to-topic similarity measure. A document level
similarity score is then computed by again using the sequence alignment
algorithm over all sentence pairs. In our experiments, we see that SimDoc
outperforms many contemporary bag-of-words techniques in accurately computing
document similarity, and on practical applications such as document clustering.
","Gaurav Maheshwari, Priyansh Trivedi, Harshita Sahijwani, Kunal Jha, Sourish Dasgupta, Jens Lehmann","Tue, 15 Nov 2016 13:31:28 GMT (323kb,D)",Computation and Language (cs.CL),SimDoc: Topic Sequence Alignment based Document Similarity Framework
"Abuse in any form is a grave threat to a child's health. Public health
institutions in the Netherlands try to identify and prevent different kinds of
abuse, and building a decision support system can help such institutions
achieve this goal. Such decision support relies on the analysis of relevant
child health data. A significant part of the medical data that the institutions
have on children is unstructured, and in the form of free text notes. In this
research, we employ machine learning and text mining techniques to detect
patterns of possible child abuse in the data. The resulting model achieves a
high score in classifying cases of possible abuse. We then describe our
implementation of the decision support API at a municipality in the
Netherlands.
","Chintan Amrit, Tim Paauw, Robin Aly, Miha Lavric","Fri, 11 Nov 2016 11:27:07 GMT (2805kb,D) [v2] Wed, 16 Nov 2016 09:57:41 GMT (2805kb,D)",Computers and Society (cs.CY),Using text mining and machine learning for detection of child abuse
"Generalized linear model with $L_1$ and $L_2$ regularization is a widely used
technique for solving classification, class probability estimation and
regression problems. With the numbers of both features and examples growing
rapidly in the fields like text mining and clickstream data analysis
parallelization and the use of cluster architectures becomes important. We
present a novel algorithm for fitting regularized generalized linear models in
the distributed environment. The algorithm splits data between nodes by
features, uses coordinate descent on each node and line search to merge results
globally. Convergence proof is provided. A modifications of the algorithm
addresses slow node problem. For an important particular case of logistic
regression we empirically compare our program with several state-of-the art
approaches that rely on different algorithmic and data spitting methods.
Experiments demonstrate that our approach is scalable and superior when
training on large and sparse datasets.
","Ilya Trofimov, Alexander Genkin","Mon, 7 Nov 2016 15:19:54 GMT (1684kb,D)",Machine Learning (stat.ML),Distributed Coordinate Descent for Generalized Linear Models with Regularization
"Blockchain represents a technology for establishing a shared, immutable
version of the truth between a network of participants that do not trust one
another, and therefore has the potential to disrupt any financial or other
industries that rely on third-parties to establish trust. Recent trends in
computing including: prevalence of Free and Open Source Software (FOSS); easy
access to High Performance Computing (HPC i.e. 'The Cloud'); and increasingly
advanced analytics capabilities such as Natural Language Processing (NLP) and
Machine Learning (ML) allow for rapidly prototyping applications for analysis
of trends in the emergence of Blockchain technology. A scaleable
proof-of-concept pipeline that lays the groundwork for analysis of multiple
streams of semi-structured data posted on social media is demonstrated.
Preliminary analysis and performance metrics are presented and discussed.
Future work is described that will scale the system to cloud-based, real-time,
analysis of multiple data streams, with Information Extraction (IE) (ex.
sentiment analysis) and Machine Learning capability.
","Marek Laskowski, Henry M. Kim","Sun, 28 Aug 2016 20:04:25 GMT (669kb)",Computers and Society (cs.CY),Rapid Prototyping of a Text Mining Application for Cryptocurrency Market Intelligence
"Assisted text input techniques can save time and effort and improve text
quality. In this paper, we investigate how grounded and conditional extensions
to standard neural language models can bring improvements in the tasks of word
prediction and completion. These extensions incorporate a structured knowledge
base and numerical values from the text into the context used to predict the
next word. Our automated evaluation on a clinical dataset shows extended models
significantly outperform standard models. Our best system uses both
conditioning and grounding, because of their orthogonal benefits. For word
prediction with a list of 5 suggestions, it improves recall from 25.03% to
71.28% and for word completion it improves keystroke savings from 34.35% to
44.81%, where theoretical bound for this dataset is 58.78%. We also perform a
qualitative investigation of how models with lower perplexity occasionally fare
better at the tasks. We found that at test time numbers have more influence on
the document level than on individual word probabilities.
","Georgios P. Spithourakis, Steffen E. Petersen, Sebastian Riedel","Thu, 20 Oct 2016 11:48:30 GMT (502kb,D)",Computation and Language (cs.CL),Clinical Text Prediction with Numerically Grounded Conditional Language Models
"One essential task in information extraction from the medical corpus is drug
name recognition. Compared with text sources come from other domains, the
medical text is special and has unique characteristics. In addition, the
medical text mining poses more challenges, e.g., more unstructured text, the
fast growing of new terms addition, a wide range of name variation for the same
drug. The mining is even more challenging due to the lack of labeled dataset
sources and external knowledge, as well as multiple token representations for a
single drug name that is more common in the real application setting. Although
many approaches have been proposed to overwhelm the task, some problems
remained with poor F-score performance (less than 0.75). This paper presents a
new treatment in data representation techniques to overcome some of those
challenges. We propose three data representation techniques based on the
characteristics of word distribution and word similarities as a result of word
embedding training. The first technique is evaluated with the standard NN
model, i.e., MLP (Multi-Layer Perceptrons). The second technique involves two
deep network classifiers, i.e., DBN (Deep Belief Networks), and SAE (Stacked
Denoising Encoders). The third technique represents the sentence as a sequence
that is evaluated with a recurrent NN model, i.e., LSTM (Long Short Term
Memory). In extracting the drug name entities, the third technique gives the
best F-score performance compared to the state of the art, with its average
F-score being 0.8645.
","Sadikin Mujiono, Mohamad Ivan Fanany, Chan Basaruddin","Thu, 6 Oct 2016 14:38:09 GMT (337kb,D)",Computation and Language (cs.CL),A New Data Representation Based on Training Data Characteristics to Extract Drug Named-Entity in Medical Text
"Non-negative matrix factorization (NMF) is the problem of determining two
non-negative low rank factors $W$ and $H$, for the given input matrix $A$, such
that $A \approx W H$. NMF is a useful tool for many applications in different
domains such as topic modeling in text mining, background separation in video
analysis, and community detection in social networks. Despite its popularity in
the data mining community, there is a lack of efficient parallel algorithms to
solve the problem for big data sets.
The main contribution of this work is a new, high-performance parallel
computational framework for a broad class of NMF algorithms that iteratively
solves alternating non-negative least squares (NLS) subproblems for $W$ and
$H$. It maintains the data and factor matrices in memory (distributed across
processors), uses MPI for interprocessor communication, and, in the dense case,
provably minimizes communication costs (under mild assumptions). The framework
is flexible and able to leverage a variety of NMF and NLS algorithms, including
Multiplicative Update, Hierarchical Alternating Least Squares, and Block
Principal Pivoting. Our implementation allows us to benchmark and compare
different algorithms on massive dense and sparse data matrices of size that
spans for few hundreds of millions to billions. We demonstrate the scalability
of our algorithm and compare it with baseline implementations, showing
significant performance improvements. The code and the datasets used for
conducting the experiments are available online.
","Ramakrishnan Kannan, Grey Ballard, Haesun Park","Wed, 28 Sep 2016 23:31:45 GMT (4171kb,D)","Distributed, Parallel, and Cluster Computing (cs.DC)",MPI-FAUN: An MPI-Based Framework for Alternating-Updating Nonnegative Matrix Factorization
"Natural language processing techniques are increasingly applied to identify
social trends and predict behavior based on large text collections. Existing
methods typically rely on surface lexical and syntactic information. Yet,
research in psychology shows that patterns of human conceptualisation, such as
metaphorical framing, are reliable predictors of human expectations and
decisions. In this paper, we present a method to learn patterns of metaphorical
framing from large text collections, using statistical techniques. We apply the
method to data in three different languages and evaluate the identified
patterns, demonstrating their psychological validity.
","Ekaterina Shutova, Patricia Lichtenstein","Wed, 28 Sep 2016 17:58:23 GMT (549kb,D)",Computation and Language (cs.CL),Psychologically Motivated Text Mining
"Drug name recognition (DNR) is an essential step in the Pharmacovigilance
(PV) pipeline. DNR aims to find drug name mentions in unstructured biomedical
texts and classify them into predefined categories. State-of-the-art DNR
approaches heavily rely on hand crafted features and domain specific resources
which are difficult to collect and tune. For this reason, this paper
investigates the effectiveness of contemporary recurrent neural architectures -
the Elman and Jordan networks and the bidirectional LSTM with CRF decoding - at
performing DNR straight from the text. The experimental results achieved on the
authoritative SemEval-2013 Task 9.1 benchmarks show that the bidirectional
LSTM-CRF ranks closely to highly-dedicated, hand-crafted systems.
","Raghavendra Chalapathy, Ehsan Zare Borzeshi, Massimo Piccardi","Sat, 24 Sep 2016 08:45:17 GMT (16kb)",Computation and Language (cs.CL),An Investigation of Recurrent Neural Architectures for Drug Name Recognition
"Social Engineering (SE) is one of the most dangerous aspect an attacker can
use against a given entity (private citizen, industry, government, ...). In
order to perform SE attacks, it is necessary to collect as much information as
possible about the target (or victim(s)). The aim of this paper is to report
the details of an activity which took to the development of an automatic tool
that extracts, categorizes and summarizes the target interests, thus possible
weaknesses with respect to specific topics. Data is collected from the user's
activity on social networks, parsed and analyzed using text mining techniques.
The main contribution of the proposed tool consists in delivering some reports
that allow the citizen, institutions as well as private bodies the screening of
their exposure to SE attacks, with a strong awareness potential that will be
reflected in a decrease of the risks and a good opportunity to save money.
","Alan Ferrari, Angelo Consoli","Fri, 23 Sep 2016 10:35:28 GMT (216kb,D)",Cryptography and Security (cs.CR),Building accurate HAV exploiting User Profiling and Sentiment Analysis
"Context: Topic modeling finds human-readable structures in unstructured
textual data. A widely used topic modeler is Latent Dirichlet allocation. When
run on different datasets, LDA suffers from ""order effects"" i.e. different
topics are generated if the order of training data is shuffled. Such order
effects introduce a systematic error for any study. This error can relate to
misleading results;specifically, inaccurate topic descriptions and a reduction
in the efficacy of text mining classification results. Objective: To provide a
method in which distributions generated by LDA are more stable and can be used
for further analysis. Method: We use LDADE, a search-based software engineering
tool that tunes LDA's parameters using DE (Differential Evolution). LDADE is
evaluated on data from a programmer information exchange site (Stackoverflow),
title and abstract text of thousands ofSoftware Engineering (SE) papers, and
software defect reports from NASA. Results were collected across different
implementations of LDA (Python+Scikit-Learn, Scala+Spark); across different
platforms (Linux, Macintosh) and for different kinds of LDAs (VEM,or using
Gibbs sampling). Results were scored via topic stability and text mining
classification accuracy. Results: In all treatments: (i) standard LDA exhibits
very large topic instability; (ii) LDADE's tunings dramatically reduce cluster
instability; (iii) LDADE also leads to improved performances for supervised as
well as unsupervised learning. Conclusion: Due to topic instability, using
standard LDA with its ""off-the-shelf"" settings should now be depreciated. Also,
in future, we should require SE papers that use LDA to test and (if needed)
mitigate LDA topic instability. Finally, LDADE is a candidate technology for
effectively and efficiently reducing that instability.
","Amritanshu Agrawal, Wei Fu, Tim Menzies","Mon, 29 Aug 2016 18:45:00 GMT (3893kb,D) [v2] Wed, 8 Feb 2017 01:19:06 GMT (4153kb,D)",Software Engineering (cs.SE),What is Wrong with Topic Modeling? (and How to Fix it Using Search-based Software Engineering)
