Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
"Lu Z., Fu Z., Xiang T., Han P., Wang L., Gao X.","Learning from weak and noisy labels for semantic segmentation",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7450177,"486","500",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012895343&doi=10.1109%2fTPAMI.2016.2552172&partnerID=40&md5=a6969200cd6422992f9c9073754bde2d","A weakly supervised semantic segmentation (WSSS) method aims to learn a segmentation model from weak (image-level) as opposed to strong (pixel-level) labels. By avoiding the tedious pixel-level annotation process, it can exploit the unlimited supply of user-tagged images from media-sharing sites such as Flickr for large scale applications. However, these 'free' tags/labels are often noisy and few existing works address the problem of learning with both weak and noisy labels. In this work, we cast the WSSS problem into a label noise reduction problem. Specifically, after segmenting each image into a set of superpixels, the weak and potentially noisy image-level labels are propagated to the superpixel level resulting in highly noisy labels; the key to semantic segmentation is thus to identify and correct the superpixel noisy labels. To this end, a novel L1-optimisation based sparse learning model is formulated to directly and explicitly detect noisy labels. To solve the L1-optimisation problem, we further develop an efficient learning algorithm by introducing an intermediate labelling variable. Extensive experiments on three benchmark datasets show that our method yields state-of-the-art results given noise-free labels, whilst significantly outperforming the existing methods when the weak labels are also noisy. © 1979-2012 IEEE.","label noise reduction; Semantic segmentation; sparse learning; weakly supervised learning"
"Takigawa I., Mamitsuka H.","Generalized sparse learning of linear models over the complete subgraph feature set",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7469410,"617","624",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012922523&doi=10.1109%2fTPAMI.2016.2567399&partnerID=40&md5=63e5b86f774ccd182182e20b6ea158b2","Supervised learning over graphs is an intrinsically difficult problem: Simultaneous learning of relevant features from the complete subgraph feature set, in which enumerating all subgraph features occurring in given graphs is practically intractable due to combinatorial explosion. We show that 1) existing graph supervised learning studies, such as Adaboost, LPBoost, and LARS/LASSO, can be viewed as variations of a branch-and-bound algorithm with simple bounds, which we call Morishita-Kudo bounds; 2) We present a direct sparse optimization algorithm for generalized problems with arbitrary twice-differentiable loss functions, to which Morishita-Kudo bounds cannot be directly applied; 3) We experimentally showed that i) our direct optimization method improves the convergence rate and stability, and ii) L1-penalized logistic regression (L1-LogReg) by our method identifies a smaller subgraph set, keeping the competitive performance, iii) the learned subgraphs by L1-LogReg are more size-balanced than competing methods, which are biased to small-sized subgraphs. © 1979-2012 IEEE.","block coordinate gradient descent; graph mining; simultaneous feature learning; sparsity-inducing regularization; Supervised learning for graphs"
"Xu Y., Carlinet E., Geraud T., Najman L.","Hierarchical segmentation using tree-based shape spaces",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7452658,"457","469",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012862654&doi=10.1109%2fTPAMI.2016.2554550&partnerID=40&md5=5613428ebf1098b36dc0fea69356b628","Current trends in image segmentation are to compute a hierarchy of image segmentations from fine to coarse. A classical approach to obtain a single meaningful image partition from a given hierarchy is to cut it in an optimal way, following the seminal approach of the scale-set theory. While interesting in many cases, the resulting segmentation, being a non-horizontal cut, is limited by the structure of the hierarchy. In this paper, we propose a novel approach that acts by transforming an input hierarchy into a new saliency map. It relies on the notion of shape space: A graph representation of a set of regions extracted from the image. Each region is characterized with an attribute describing it. We weigh the boundaries of a subset of meaningful regions (local minima) in the shape space by extinction values based on the attribute. This extinction-based saliency map represents a new hierarchy of segmentations highlighting regions having some specific characteristics. Each threshold of this map represents a segmentation which is generally different from any cut of the original hierarchy. This new approach thus enlarges the set of possible partition results that can be extracted from a given hierarchy. Qualitative and quantitative illustrations demonstrate the usefulness of the proposed method. © 1979-2012 IEEE.","binary partition tree; Graph; hierarchical segmentation; hierarchy; image segmentation; minimum spanning tree; object spotting; saliency map; shape space; tree of shapes; α-tree"
"Chu W.-S., De La Torre F., Cohn J.F.","Selective transfer machine for personalized facial expression analysis",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7442563,"529","545",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012888646&doi=10.1109%2fTPAMI.2016.2547397&partnerID=40&md5=d829a2b0ef08171c5c2d21865f4fab68","Automatic facial action unit (AU) and expression detection from videos is a long-standing problem. The problem is challenging in part because classifiers must generalize to previously unknown subjects that differ markedly in behavior and facial morphology (e.g., heavy versus delicate brows, smooth versus deeply etched wrinkles) from those on which the classifiers are trained. While some progress has been achieved through improvements in choices of features and classifiers, the challenge occasioned by individual differences among people remains. Person-specific classifiers would be a possible solution but for a paucity of training data. Sufficient training data for person-specific classifiers typically is unavailable. This paper addresses the problem of how to personalize a generic classifier without additional labels from the test subject. We propose a transductive learning method, which we refer to as a Selective Transfer Machine (STM), to personalize a generic classifier by attenuating person-specific mismatches. STM achieves this effect by simultaneously learning a classifier and re-weighting the training samples that are most relevant to the test subject. We compared STM to both generic classifiers and cross-domain learning methods on four benchmarks: CK+ [44] , GEMEP-FERA [67] , RU-FACS [4] and GFT [57]. STM outperformed generic classifiers in all. © 1979-2012 IEEE.","domain adaptation; Facial expression analysis; personalization; support vector machine (SVM); transfer learning"
"Wang P., Shen C., Van Den Hengel A., Torr P.H.S.","Large-scale binary quadratic optimization using semidefinite relaxation and applications",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","3", 7431988,"470","485",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012916533&doi=10.1109%2fTPAMI.2016.2541146&partnerID=40&md5=db4c77ed29f9a5c542ac647d13643566","In computer vision, many problems can be formulated as binary quadratic programs (BQPs), which are in general NP hard. Finding a solution when the problem is of large size to be of practical interest typically requires relaxation. Semidefinite relaxation usually yields tight bounds, but its computational complexity is high. In this work, we present a semidefinite programming (SDP) formulation for BQPs, with two desirable properties. First, it produces similar bounds to the standard SDP formulation. Second, compared with the conventional SDP formulation, the proposed SDP formulation leads to a considerably more efficient and scalable dual optimization approach. We then propose two solvers, namely, quasi-Newton and smoothing Newton methods, for the simplified dual problem. Both of them are significantly more efficient than standard interior-point methods. Empirically the smoothing Newton solver is faster than the quasi-Newton solver for dense or medium-sized problems, while the quasi-Newton solver is preferable for large sparse/structured problems. © 1979-2012 IEEE.","Binary quadratic optimization; Markov random fields; semidefinite programming"
"Peng C., Gao X., Wang N., Li J.","Graphical Representation for Heterogeneous Face Recognition",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", 7434636,"301","312",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009853908&doi=10.1109%2fTPAMI.2016.2542816&partnerID=40&md5=5da3154535093698111effc4c201c117","Heterogeneous face recognition (HFR) refers to matching face images acquired from different sources (i.e., different sensors or different wavelengths) for identification. HFR plays an important role in both biometrics research and industry. In spite of promising progresses achieved in recent years, HFR is still a challenging problem due to the difficulty to represent two heterogeneous images in a homogeneous manner. Existing HFR methods either represent an image ignoring the spatial information, or rely on a transformation procedure which complicates the recognition task. Considering these problems, we propose a novel graphical representation based HFR method (G-HFR) in this paper. Markov networks are employed to represent heterogeneous image patches separately, which takes the spatial compatibility between neighboring image patches into consideration. A coupled representation similarity metric (CRSM) is designed to measure the similarity between obtained graphical representations. Extensive experiments conducted on multiple HFR scenarios (viewed sketch, forensic sketch, near infrared image, and thermal infrared image) show that the proposed method outperforms state-of-the-art methods. © 1979-2012 IEEE.","forensic sketch; graphical representation; Heterogeneous face recognition; infrared image; thermal image"
"Qu H.-B., Wang J.-Q., Li B., Yu M.","Probabilistic Model for Robust Affine and Non-Rigid Point Set Matching",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", 7439870,"371","384",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009892652&doi=10.1109%2fTPAMI.2016.2545659&partnerID=40&md5=cc03b6f39a552230302e7336f8196eaa","In this work, we propose a combinative strategy based on regression and clustering for solving point set matching problems under a Bayesian framework, in which the regression estimates the transformation from the model to the sceneand the clustering establishes the correspondence between two point sets. The point set matching model is illustrated by a hierarchical directed graph, and the matching uncertainties are approximated by a coarse-to-fine variational inference algorithm. Furthermore, two Gaussian mixtures are proposed for the estimation of heteroscedastic noise and spurious outliers, and an isotropic or anisotropic covariance can be imposed on each mixture in terms of the transformed model points. The experimental results show that the proposed approach achieves comparable performance to state-of-the-art matching or registration algorithms in terms of both robustness and accuracy. © 1979-2012 IEEE.","affine transformation; Gaussian mixture model; graphical model; non-rigid registration; Point set matching; robust estimation; variational inference"
"Koniusz P., Yan F., Gosselin P.-H., Mikolajczyk K.","Higher-Order Occurrence Pooling for Bags-of-Words: Visual Concept Detection",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", 7439823,"313","326",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009910420&doi=10.1109%2fTPAMI.2016.2545667&partnerID=40&md5=b367b95a1dcfa4bfe7a1dd0eb349f9ea","In object recognition, the Bag-of-Words model assumes: i) extraction of local descriptors from images, ii) embedding the descriptors by a coder to a given visual vocabulary space which results in mid-level features, iii) extracting statistics from mid-level features with a pooling operator that aggregates occurrences of visual words in images into signatures, which we refer to as First-order Occurrence Pooling. This paper investigates higher-order pooling that aggregates over co-occurrences of visual words. We derive Bag-of-Words with Higher-order Occurrence Pooling based on linearisation of Minor Polynomial Kernel, and extend this model to work with various pooling operators. This approach is then effectively used for fusion of various descriptor types. Moreover, we introduce Higher-order Occurrence Pooling performed directly on local image descriptors as well as a novel pooling operator that reduces the correlation in the image signatures. Finally, First-, Second-, and Third-order Occurrence Pooling are evaluated given various coders and pooling operators on several widely used benchmarks. The proposed methods are compared to other approaches such as Fisher Vector Encoding and demonstrate improved results. © 1979-2012 IEEE.","Bag-of-words; co-occurrence; first-order; mid-level features; pooling operator; second-order; sparse coding"
"Zhao R., Oyang W., Wang X.","Person Re-Identification by Saliency Learning",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", 7437489,"356","370",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009935490&doi=10.1109%2fTPAMI.2016.2544310&partnerID=40&md5=57a95435c8b8df5c3e46b6907b01007c","Human eyes can recognize person identities based on small salient regions, i.e., person saliency is distinctive and reliable in pedestrian matching across disjoint camera views. However, such valuable information is often hidden when computing similarities of pedestrian images with existing approaches. Inspired by our user study result of human perception on person saliency, we propose a novel perspective for person re-identification based on learning person saliency and matching saliency distribution. The proposed saliency learning and matching framework consists of four steps: (1) To handle misalignment caused by drastic viewpoint change and pose variations, we apply adjacency constrained patch matching to build dense correspondence between image pairs. (2) We propose two alternative methods, i.e., K-Nearest Neighbors and One-class SVM, to estimate a saliency score for each image patch, through which distinctive features stand out without using identity labels in the training procedure. (3) saliency matching is proposed based on patch matching. Matching patches with inconsistent saliency brings penalty, and images of the same identity are recognized by minimizing the saliency matching cost. (4) Furthermore, saliency matching is tightly integrated with patch matching in a unified structural RankSVM learning framework. The effectiveness of our approach is validated on the four public datasets. Our approach outperforms the state-of-the-art person re-identification methods on all these datasets. © 1979-2012 IEEE.","patch matching; Person re-identification; person saliency; video surveillance"
"Bok Y., Jeon H.-G., Kweon I.S.","Geometric Calibration of Micro-Lens-Based Light Field Cameras Using Line Features",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", A2,"287","300",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009739454&doi=10.1109%2fTPAMI.2016.2541145&partnerID=40&md5=35bc2f4643564abffa7bb82cbba184b3","We present a novel method for the geometric calibration of micro-lens-based light field cameras. Accurate geometric calibration is the basis of various applications. Instead of using sub-Aperture images, we directly utilize raw images for calibration. We select appropriate regions in raw images and extract line features from micro-lens images in those regions. For the entire process, we formulate a new projection model of a micro-lens-based light field camera, which contains a smaller number of parameters than previous models. The model is transformed into a linear form using line features. We compute the initial solution of both the intrinsic and the extrinsic parameters by a linear computation and refine them via non-linear optimization. Experimental results demonstrate the accuracy of the correspondences between rays and pixels in raw images, as estimated by the proposed method. © 1979-2012 IEEE.","calibration; Computational photography and camera; light field cameras; plenoptic"
"Theologou P., Pratikakis I., Theoharis T.","Unsupervised Spectral Mesh Segmentation Driven by Heterogeneous Graphs",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", A5,"397","410",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009752514&doi=10.1109%2fTPAMI.2016.2544311&partnerID=40&md5=b62557f9fc0ae89982080fb527e14500","A fully automatic mesh segmentation scheme using heterogeneous graphs is presented. We introduce a spectral framework where local geometry affinities are coupled with surface patch affinities. A heterogeneous graph is constructed combining two distinct graphs: A weighted graph based on adjacency of patches of an initial over-segmentation, and the weighted dual mesh graph. The partitioning relies on processing each eigenvector of the heterogeneous graph Laplacian individually, taking into account the nodal set and nodal domain theory. Experiments on standard datasets show that the proposed unsupervised approach outperforms the state-of-The-Art unsupervised methodologies and is comparable to the best supervised approaches. © 1979-2012 IEEE.","3D mesh segmentation; Mesh processing; spectral analysis"
"Kviatkovsky I., Gabel M., Rivlin E., Shimshoni I.","On the Equivalence of the LC-KSVD and the D-KSVD Algorithms",2017,"IEEE Transactions on Pattern Analysis and Machine Intelligence","39","2", 7439860,"411","416",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009875677&doi=10.1109%2fTPAMI.2016.2545661&partnerID=40&md5=2aac2e23c4261e3ceab8b14fa97a33fe","Sparse and redundant representations, where signals are modeled as a combination of a few atoms from an overcomplete dictionary, is increasingly used in many image processing applications, such as denoising, super resolution, and classification. One common problem is learning a 'good' dictionary for different tasks. In the classification task the aim is to learn a dictionary that also takes training labels into account, and indeed there exist several approaches to this problem. One well-known technique is D-KSVD, which jointly learns a dictionary and a linear classifier using the K-SVD algorithm. LC-KSVD is a recent variation intended to further improve on this idea by adding an explicit label consistency term to the optimization problem, so that different classes are represented by different dictionary atoms. In this work we prove that, under identical initialization conditions, LC-KSVD with uniform atom allocation is in fact a reformulation of D-KSVD: given the regularization parameters of LC-KSVD, we give a closed-form expression for the equivalent D-KSVD regularization parameter, assuming the LC-KSVD's initialization scheme is used. We confirm this by reproducing several of the original LC-KSVD experiments. © 1979-2012 IEEE.","Discriminative dictionary learning; discriminative K-SVD; equivalence proof; label consistent K-SVD"
