Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Author Keywords
"Ylhäinen I.","Life-cycle effects in small business finance",2017,"Journal of Banking and Finance","77",,,"176","196",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010702216&doi=10.1016%2fj.jbankfin.2017.01.008&partnerID=40&md5=b1a61b74aa5093cbae7d90441fff0108","This paper studies the life-cycle profiles of small firms’ cost and use of credit using a panel of Finnish firms. The choice of method matters for the conclusions drawn about the relationship between firm age and financing costs; the cross-sectional age profiles of financing costs are hump-shaped and consistent with hold-up theories, whereas methods that control for cohort fixed effects demonstrate that the financing costs decrease monotonically as the firms mature. The life-cycle profiles of the use of credit also indicate that firms are more dependent on financial intermediaries in the early periods of their lives. Furthermore, the cohorts born during recessions pay higher financing costs and use smaller amounts of bank loans, even after their creditworthiness is controlled for. The recession cohort effect appears to be more related to the experience of starting-up the firm in the recession than to the CEOs growing up in a recession during their early adulthood. © 2017 Elsevier B.V.","Cohort effects; Life-cycle effects; Small business finance"
"Zolotoy L., Frederickson J.R., Lyon J.D.","Aggregate earnings and stock market returns: The good, the bad, and the state-dependent",2017,"Journal of Banking and Finance","77",,,"157","175",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010702313&doi=10.1016%2fj.jbankfin.2017.01.005&partnerID=40&md5=1c951da9b6f13fde1c03c7ef32294299","Prior research documents a negative aggregate earnings-returns relation. In contrast, we posit that the sign of the relation varies, depending upon the macroeconomic and financial market conditions that exist in the earnings announcement quarter. We argue that the existing macroeconomic and financial market conditions influence market participants’ frame of reference, which in turn affects whether they interpret aggregate earnings surprises to be informative about the expected inflation component of the discount rate, the market risk premium component of the discount rate, or aggregate future cash flows. Consistent with this, we find that the sign of the aggregate earnings-returns relation changes numerous times across our sample period. We also find that market participants interpret aggregate earnings to be informative about changes in expected inflation (market risk premium) when the sign of the aggregate earnings-returns relation is negative (positive). Finally, we identify macroeconomic and financial market conditions under which the aggregate earnings-returns relation is more (less) likely to be negative (positive). © 2017 Elsevier B.V.","Aggregate earnings; Discount rate; Market returns, State dependence"
"Piccotti L.R.","Financial contagion risk and the stochastic discount factor",2017,"Journal of Banking and Finance","77",,,"230","248",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011602067&doi=10.1016%2fj.jbankfin.2017.01.012&partnerID=40&md5=46e1050e1beb8c4c7a629f9f96a1eddb","I provide evidence that financial contagion risk is an important source of the equity risk premium. Banks’ contributions to aggregate financial contagion are estimated in a state space framework and linked to systemic risk. Greater bank connectedness today leads to increased systemic risk 3–12 months later. More contagious banks earn significantly greater risk-adjusted returns than less contagious ones and the tradable high contagion-minus-low contagion bank portfolio is priced in the cross-section of stock returns. Stocks that co-move more strongly with contagious banks have greater expected returns. These results are robust to factor model specification, test assets, and time period considered. © 2017 Elsevier B.V.","Asset pricing; Equity risk premium; Financial contagion; State-space modeling; Systemic risk"
"Moshirian F., Nanda V., Vadilyev A., Zhang B.","What drives investment–cash flow sensitivity around the World? An asset tangibility Perspective",2017,"Journal of Banking and Finance","77",,,"1","17",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007415772&doi=10.1016%2fj.jbankfin.2016.12.012&partnerID=40&md5=f4912635a31e23b728ed520dcc9bbf2c","Motivated by ongoing debates on investment–cash flow sensitivity (ICFS) and its documented decline and disappearance in the U.S., we investigate the determinants of ICFS. Using firm-level data across 41 countries for the 1993–2013 period, we document an important role of asset tangibility in explaining the patterns in ICFS. Asset tangibility affects ICFS through two channels: investment intensity and cash flow persistence. As the share of tangible capital, investment and cash flow persistence has fallen in developed economies, ICFS has declined. In contrast, as developing economies operate with more tangible capital, have higher investment rates and more persistent cash flows, their ICFS is more stable. The results support our explanation of ICFS as a reflection of capital (investment) intensity and income predictability, rather than a measure of financial constraints. © 2016 Elsevier B.V.","Asset tangibility; Cash flow persistence; Investment intensity; Investment–cash flow sensitivity; Investment–cash flow–tangible capital sensitivity"
"Kim D., Sohn W.","The effect of bank capital on lending: Does liquidity matter?",2017,"Journal of Banking and Finance","77",,,"95","107",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010442924&doi=10.1016%2fj.jbankfin.2017.01.011&partnerID=40&md5=83811fcbb166d0577f7e35fb401d9aed","This paper uses a sample of quarterly observations of insured US commercial banks to examine whether the effect of bank capital on lending differs depending upon the level of bank liquidity. We find that the effect of an increase in bank capital on credit growth, defined as growth rate of net loans and unused commitments, is positively associated with the level of bank liquidity only for large banks and that this positive relationship has been more substantial during the recent financial crisis period. This result suggests that bank capital exerts a significantly positive effect on lending only after large banks retain sufficient liquid assets. © 2017 Elsevier B.V.","Bank capital; Bank liquidity; Basel III; Financial crisis; Lending behavior"
"Farkas W., Gourier E., Huitema R., Necula C.","A two-factor cointegrated commodity price model with an application to spread option pricing",2017,"Journal of Banking and Finance","77",,,"249","268",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012278989&doi=10.1016%2fj.jbankfin.2017.01.007&partnerID=40&md5=046ee96b5e4e4ad8e25d77c8fe78e3c9","In this paper, we propose an easy-to-use yet comprehensive model for a system of cointegrated commodity prices. While retaining the exponential affine structure of previous approaches, our model allows for an arbitrary number of cointegration relationships. We show that the cointegration component allows capturing well-known features of commodity prices, i.e., upward sloping (contango) and downward sloping (backwardation) term-structures, smaller volatilities for longer maturities and an upward sloping correlation term structure. The model is calibrated to futures price data of ten commodities. The results provide compelling evidence of cointegration in the data. Implications for the prices of futures and options written on common commodity spreads (e.g., spark spread and crack spread) are thoroughly investigated. © 2017 Elsevier B.V.","Cointegration; Commodities; Crack spread; Futures; Option pricing; Spark spread; Spread options"
"Behr P., Foos D., Norden L.","Cyclicality of SME lending and government involvement in banks",2017,"Journal of Banking and Finance","77",,,"64","77",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009986548&doi=10.1016%2fj.jbankfin.2017.01.010&partnerID=40&md5=1450c7ce7a7387a4d982cba15e136ad5","Recent regulatory efforts aim at lowering the cyclicality of bank lending because of its potentially detrimental effects on financial stability and the real economy. We investigate the cyclicality of SME lending of local banks with versus without a public mandate, controlling for location, size, loan maturity, capitalization, funding structure, liquidity, profitability, and credit demand-side factors. The public mandate is set by local governments and stipulates a sustainable provision of financial services to local customers and a deviation from strict profit maximization. We find that banks with a public mandate are 25% less cyclical than other local banks. The result is credit supply-side driven and especially strong for public mandate banks with high liquidity and stable deposit funding. Our findings have implications for the bank structure, financial stability and the finance-growth nexus in a local context. © 2017 Elsevier B.V.","Banks; Business cycles; Financial stability; Loan growth; SME finance"
"Balvers R., Du D., Zhao X.","Temperature shocks and the cost of equity capital: Implications for climate change perceptions",2017,"Journal of Banking and Finance","77",,,"18","34",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009160097&doi=10.1016%2fj.jbankfin.2016.12.013&partnerID=40&md5=cf518799bff991c7a141c8b1ccf02123","Financial market information can provide an objective assessment of losses anticipated from temperature changes. In an APT model in which temperature shocks are a systematic risk factor, the risk premium is significantly negative, loadings for most assets are negative, and asset portfolios in more vulnerable industries have stronger negative loadings on a temperature shock factor. Weighted average increases in the cost of equity capital attributed to uncertainty about temperature changes are 0.22 percent, implying a present value loss of 7.92 percent of wealth. These costs represent a new channel that may contribute to cost of climate change assessment. © 2016 Elsevier B.V.","Asset pricing; Climate change; Cost of capital; Tracking portfolios"
"Reusens P., Croux C.","Sovereign credit rating determinants: A comparison before and after the European debt crisis",2017,"Journal of Banking and Finance","77",,,"108","121",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010465172&doi=10.1016%2fj.jbankfin.2017.01.006&partnerID=40&md5=f297fba4c18c1970a2aa395d26b8013b","This paper compares the importance of different sovereign credit rating determinants over time, using a sample of 90 countries for the years 2002–2015. Applying the composite marginal likelihood approach, we estimate a multi-year ordered probit model for each of the three major credit rating agencies. After the start of the European debt crisis in 2009, the importance of the financial balance, the economic development and the external debt increased substantially and the effect of eurozone membership switched from positive to negative. In addition, GDP growth gained a lot of importance for highly indebted sovereigns and government debt became much more important for countries with a low GDP growth rate. These findings provide empirical evidence that the credit rating agencies changed their sovereign credit rating assessment after the start of the European debt crisis. © 2017 Elsevier B.V.","Composite marginal likelihood; Credit rating agencies; European debt crisis; Multi-year ordered probit model; Sovereign credit rating determinants"
"Hansen E., Wagner R.","Stockpiling cash when it takes time to build: Exploring price differentials in a commodity boom",2017,"Journal of Banking and Finance","77",,,"197","212",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010749108&doi=10.1016%2fj.jbankfin.2017.01.015&partnerID=40&md5=0f5270d2705289b0fd15e7102d243586","Some projects take time to build or are slow to yield cash flows. This may impact the dynamics of investment and liquidity management, although few studies test their financial implications. We exploit the peculiar advantages of copper mines as a laboratory to identify cash-flow sensitivities. In this context, investment decisions depend on the expectations of the long run price of the commodity, while the spread between the spot price and this long run expectations shifts current cash-flows. For this study we compiled a sample of copper firms between 2002 and 2012. We do not find significant effects of cash flow on current capital expenditures, but we do observe a systematic cash flow sensitivity of cash holdings, meaning that some of these transitory earnings are retained as liquidity. This cash stockpiling is stronger among financially constrained firms. In a context of time-to-build, our findings support financial theories emphasizing the salience of cash as buffer stock for liquidity in preparation for future investment opportunities. © 2017 Elsevier B.V.","Cash flow sensitivity of cash; Investment; Liquidity; Time-to-build"
"Biener C., Eling M., Jia R.","The structure of the global reinsurance market: An analysis of efficiency, scale, and scope",2017,"Journal of Banking and Finance","77",,,"213","229",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010666293&doi=10.1016%2fj.jbankfin.2017.01.017&partnerID=40&md5=b17535f224844c108db8a815e2e57c9c","We estimate economies of scale and scope as well as cost and revenue efficiency to explain the structure of the global reinsurance market, where large reinsurers dominate but both diversified and specialized reinsurers are competitive. The costs and benefits of size and product diversification are particularly relevant to the reinsurance industry, as risk diversification is central to the industry's business model. We find that reinsurers with total assets less than USD 2.9 billion exhibit scale economies, while those with total assets greater than USD 15.5 billion do not. Large reinsurers are characterized by high cost efficiency, while small reinsurers exhibit superior efficiency only when specialized. Large reinsurers also exhibit revenue scope economies when operating both life and nonlife reinsurance. Moreover, the evidence is in line with the efficient structure hypothesis: cost-efficient reinsurers can charge lower prices without sacrificing profitability. © 2017 Elsevier B.V.","Cost efficiency; Data envelopment analysis; Economies of scale; Economies of scope; Insurance; Market structure"
"Leippold M., Vasiljević N.","Pricing and disentanglement of American puts in the hyper-exponential jump-diffusion model",2017,"Journal of Banking and Finance","77",,,"78","94",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010023008&doi=10.1016%2fj.jbankfin.2017.01.014&partnerID=40&md5=a4a9cc83eb98780b773bc3707e62a90a","We analyze American put options in a hyper-exponential jump-diffusion model. Our contribution is threefold. Firstly, by following a maturity randomization approach, we solve the partial integro-differential equation and obtain a tight lower bound for the American option price. Secondly, our method allows to disentangle the contributions of jumps and diffusion for the early exercise premium. Finally, using American-style options on the S&P 100 index from January 2007 until December 2012, we estimate various hyper-exponential specifications and investigate the implications for option pricing and jump-diffusion disentanglement. We find that jump risk accounts for a large part of the early exercise premium. © 2017 Elsevier B.V.","American options; Early exercise premium; Hyper-exponential jump-diffusion model; Jump-diffusion disentanglement; Maturity randomization"
"Li X., Wang S.S., Wang X.","Trust and stock price crash risk: Evidence from China",2017,"Journal of Banking and Finance","76",,,"74","91",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004010181&doi=10.1016%2fj.jbankfin.2016.12.003&partnerID=40&md5=8bbfb8bebfbfffb5c640cb8832dd28fd","This paper examines the impact of social trust on stock price crash risk. Social trust measures the level of mutual trust among the members of a society. Using a large sample of Chinese listed firms for the 2001–2015 period, we find that firms headquartered in regions of high social trust tend to have smaller crash risks. This result is robust to a battery of sensitivity tests and is more prominent for State-Owned Enterprises (SOEs), for firms with weak monitoring, and for firms with higher risk-taking. Moreover, we observe that firms in regions of high social trust are associated with higher accounting conservatism and fewer financial restatements. Our study suggests that social trust is an important variable that is omitted in the literature investigating the predictors of stock price crashes. © 2016 Elsevier B.V.","Agency theory; Crash risk; Social trust"
"Billio M., Donadelli M., Paradiso A., Riedel M.","Which market integration measure?",2017,"Journal of Banking and Finance","76",,,"150","174",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006757490&doi=10.1016%2fj.jbankfin.2016.12.002&partnerID=40&md5=97f2bb8789dead4a9c8c08d80c5a7b83","This paper compares the dynamics of the financial integration process as described by different empirical approaches. To this end, a wide range of measures accounting for several dimensions of integration is employed. In addition, we evaluate the performance of each measure by relying on an established international finance result, i.e., increasing financial integration leads to declining international portfolio diversification benefits. Using monthly equity market data for three different country groups (i.e., developed markets, emerging markets, developed plus emerging markets) and a dynamic indicator of international portfolio diversification benefits, we find that (i) all measures give rise to a very similar long-run integration pattern; (ii) the standard correlation explains variations in diversification benefits as well or better than more sophisticated measures. These findings are robust to a battery of robustness checks. © 2016 Elsevier B.V.","Dynamic correlation; Equity market integration; International diversification benefits; Principal components"
"Chen D., Guan Y., Zhang T., Zhao G.","Political connection of financial intermediaries: Evidence from China's IPO market",2017,"Journal of Banking and Finance","76",,,"15","31",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001930610&doi=10.1016%2fj.jbankfin.2016.11.023&partnerID=40&md5=9045c68930726569279826f334594f29","Using a sample of Chinese Initial Public Offerings (IPOs) from 2006 to 2011, we document that politically connected (PC) underwriters increase the likelihood of clients’ IPO applications being approved by the Chinese Securities Regulatory Commission (CSRC). We further show that PC underwriters charge premium underwriting fees. Consistent with the rent-seeking argument, we find that minority shareholders’ interests may be impaired as indicated by post-IPO underperformance. We do not detect significant differences in the underpricing of IPO deals underwritten by PC versus non-PC investment banks. © 2016","IPO; Political connection; Post-IPO underperformance; Underpricing; Underwriters"
"Kiesel R., Rahe F.","Option pricing under time-varying risk-aversion with applications to risk forecasting",2017,"Journal of Banking and Finance","76",,,"120","138",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006925355&doi=10.1016%2fj.jbankfin.2016.11.006&partnerID=40&md5=45127dd19b0338ed83b1726a636bd2b7","We present a two-factor option-pricing model, which parsimoniously captures the difference in volatility persistences under the historical and risk-neutral probabilities. The model generates an S-shaped pricing kernel that exhibits time-varying risk aversion. We apply our model for two purposes. First, we analyze the risk preference implied by S&P500 index options during 2001–2009 and find that risk-aversion level strongly increases during stressed market conditions. Second, we apply our model for Value-at-Risk (VaR) forecasts during the subprime crisis period and find that it outperforms several leading VaR models. © 2016 Elsevier B.V.","Implied risk premium; Option pricing; Pricing kernel; Value-at-Risk forecast"
